,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
12,Turkey,9217,"+1,815",131.0,+23,105.0,8981,568.0,109.0,2.0,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
13,Austria,8788,+517,86.0,+18,479.0,8223,187.0,976.0,10.0,Feb 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
14,Canada,6320,+665,65.0,+5,573.0,5682,120.0,167.0,2.0,Jan 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
15,Portugal,5962,+792,119.0,+19,43.0,5800,89.0,585.0,12.0,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
16,Norway,4284,+269,26.0,+3,7.0,4251,91.0,790.0,5.0,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
17,Brazil,4256,+352,136.0,+22,6.0,4114,296.0,20.0,0.6,Feb 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
18,Israel,4247,+628,15.0,+3,132.0,4100,74.0,491.0,2.0,Feb 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
19,Australia,4163,+528,17.0,+3,244.0,3902,28.0,163.0,0.7,Jan 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
20,Sweden,3700,+253,110.0,+5,16.0,3574,255.0,366.0,11.0,Jan 30,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
21,Czechia,2817,+186,16.0,+5,11.0,2790,45.0,263.0,1.0,Feb 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
22,Ireland,2615,+200,46.0,+10,5.0,2564,59.0,530.0,9.0,Feb 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
23,Malaysia,2470,+150,35.0,+8,388.0,2047,73.0,76.0,1.0,Jan 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
24,Denmark,2395,+194,72.0,+7,1.0,2322,113.0,413.0,12.0,Feb 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
25,Chile,2139,+230,7.0,+1,75.0,2057,7.0,112.0,0.4,Mar 02,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
26,Luxembourg,1950,+119,21.0,+3,40.0,1889,25.0,3115.0,34.0,Feb 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
27,Ecuador,1924,+101,58.0,+10,3.0,1863,58.0,109.0,3.0,Feb 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
28,Japan,1866,+173,54.0,+2,424.0,1388,56.0,15.0,0.4,Jan 14,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
29,Poland,1862,+224,22.0,+4,7.0,1833,3.0,49.0,0.6,Mar 03,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
30,Romania,1815,+363,43.0,+6,206.0,1566,31.0,94.0,2.0,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
31,Pakistan,1597,+102,14.0,+2,29.0,1554,11.0,7.0,0.06,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
32,Russia,1534,+270,8.0,+4,64.0,1462,8.0,11.0,0.05,Jan 30,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
33,Philippines,1418,+343,71.0,+3,42.0,1305,1.0,13.0,0.6,Jan 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
34,Thailand,1388,+143,7.0,+1,229.0,1152,11.0,20.0,0.1,Jan 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
35,Saudi Arabia,1299,+96,8.0,+4,66.0,1225,12.0,37.0,0.2,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
36,Indonesia,1285,+130,114.0,+12,64.0,1107,,5.0,0.4,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
37,South Africa,1280,+93,2.0,+1,31.0,1247,7.0,22.0,0.03,Mar 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
38,Finland,1240,+73,11.0,+2,10.0,1219,32.0,224.0,2.0,Jan 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
39,Greece,1156,+95,39.0,+7,52.0,1065,66.0,111.0,4.0,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
40,India,1024,+37,27.0,+3,95.0,902,,0.7,0.02,Jan 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
41,Iceland,1020,+57,2.0,,135.0,883,25.0,2989.0,6.0,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
42,Panama,989,+88,24.0,+7,4.0,961,36.0,229.0,6.0,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
43,Dominican Republic,859,+140,39.0,+11,3.0,817,,79.0,4.0,Feb 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
44,Peru,852,+181,18.0,+2,16.0,818,40.0,26.0,0.5,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
45,Mexico,848,+131,16.0,+4,35.0,797,1.0,7.0,0.1,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
46,Singapore,844,+42,3.0,+1,212.0,629,19.0,144.0,0.5,Jan 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
47,Argentina,820,+75,20.0,+1,91.0,709,,18.0,0.4,Mar 02,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
48,Serbia,741,+82,13.0,+3,42.0,686,25.0,85.0,1.0,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
49,Slovenia,730,+46,11.0,+2,10.0,709,23.0,351.0,5.0,Mar 03,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
50,Croatia,713,+56,6.0,+1,55.0,652,26.0,174.0,1.0,Feb 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
51,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
52,Colombia,702,+94,10.0,+4,10.0,682,29.0,14.0,0.2,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
53,Estonia,679,+34,3.0,+2,20.0,656,10.0,512.0,2.0,Feb 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
54,Hong Kong,642,+82,4.0,,118.0,520,5.0,86.0,0.5,Jan 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
55,Qatar,634,+44,1.0,,48.0,585,6.0,220.0,0.3,Feb 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
56,Egypt,609,+33,40.0,+4,132.0,437,,6.0,0.4,Feb 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
57,UAE,570,+102,3.0,+1,58.0,509,2.0,58.0,0.3,Jan 28,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
58,Iraq,547,+41,42.0,,143.0,362,,14.0,1.0,Feb 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
59,New Zealand,514,,1.0,,56.0,457,1.0,107.0,0.2,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
60,Algeria,511,+57,31.0,+2,31.0,449,,12.0,0.7,Feb 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
61,Bahrain,499,+23,4.0,,272.0,223,1.0,293.0,2.0,Feb 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
62,Morocco,479,+77,26.0,+1,13.0,440,1.0,13.0,0.7,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
63,Ukraine,475,+119,10.0,+1,6.0,459,,11.0,0.2,Mar 02,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
64,Lithuania,460,+66,7.0,,1.0,452,2.0,169.0,3.0,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
65,Lebanon,438,+26,10.0,+2,30.0,398,4.0,64.0,1.0,Feb 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
66,Armenia,424,+17,3.0,+2,30.0,391,6.0,143.0,1.0,Feb 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
67,Hungary,408,+65,13.0,+2,34.0,361,6.0,42.0,1.0,Mar 03,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
68,Latvia,347,+42,,,1.0,346,3.0,184.0,,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
69,Bulgaria,346,+15,8.0,+1,14.0,324,8.0,50.0,1.0,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
70,Andorra,334,+26,6.0,+3,1.0,327,10.0,4323.0,78.0,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
71,Bosnia and Herzegovina,323,+45,6.0,,8.0,309,1.0,98.0,2.0,Mar 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
72,Costa Rica,314,+19,2.0,,3.0,309,6.0,62.0,0.4,Mar 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
73,Slovakia,314,+22,,,2.0,312,1.0,58.0,,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
74,Tunisia,312,+34,8.0,,2.0,302,10.0,26.0,0.7,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
75,Uruguay,304,,1.0,,,303,9.0,88.0,0.3,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
76,Taiwan,298,+15,3.0,+1,39.0,256,,13.0,0.1,Jan 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
77,Kazakhstan,284,+56,1.0,,20.0,263,,15.0,0.05,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
78,Moldova,263,+32,2.0,,2.0,259,33.0,65.0,0.5,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
79,North Macedonia,259,+18,6.0,+2,3.0,250,1.0,124.0,3.0,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
80,Jordan,259,+13,3.0,+2,18.0,238,3.0,25.0,0.3,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
81,Kuwait,255,+20,,,67.0,188,12.0,60.0,,Feb 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
82,San Marino,224,,22.0,,6.0,196,16.0,6602.0,648.0,Feb 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
83,Burkina Faso,222,+15,12.0,+1,23.0,187,,11.0,0.6,Mar 08,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
84,Cyprus,214,+35,6.0,+1,15.0,193,3.0,177.0,5.0,Mar 08,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
85,Albania,212,+15,10.0,,33.0,169,3.0,74.0,3.0,Mar 07,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
86,Azerbaijan,209,+27,4.0,,15.0,190,23.0,21.0,0.4,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
87,Vietnam,194,+20,,,25.0,169,3.0,2.0,,Jan 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
88,Réunion,183,,,,1.0,182,,204.0,,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
89,Oman,167,+15,,,23.0,144,3.0,33.0,,Feb 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
90,Ivory Coast,165,+64,1.0,+1,4.0,160,,6.0,0.04,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
91,Faeroe Islands,159,+4,,,70.0,89,1.0,3254.0,,Mar 03,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
92,Ghana,152,+11,5.0,,2.0,145,1.0,5.0,0.2,Mar 11,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
93,Malta,151,+2,,,2.0,149,4.0,342.0,,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
94,Uzbekistan,144,+40,2.0,,7.0,135,8.0,4.0,0.06,Mar 14,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
95,Senegal,142,+12,,,27.0,115,,8.0,,Mar 01,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
96,Cameroon,139,+48,6.0,+4,5.0,128,,5.0,0.2,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
97,Cuba,139,+20,3.0,,4.0,132,2.0,12.0,0.3,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
98,Brunei,126,+6,1.0,,34.0,91,1.0,288.0,2.0,Mar 08,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
99,Afghanistan,120,+10,4.0,,2.0,114,,3.0,0.1,Feb 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
100,Venezuela,119,,3.0,+1,39.0,77,6.0,4.0,0.1,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
101,Sri Lanka,117,+4,1.0,,11.0,105,5.0,5.0,0.05,Jan 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
102,Nigeria,111,+14,1.0,,3.0,107,,0.5,0.0,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
103,Honduras,110,+15,3.0,+2,3.0,104,4.0,11.0,0.3,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
104,Palestine,109,+5,1.0,,18.0,90,,21.0,0.2,Mar 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
105,Channel Islands,108,+11,2.0,+1,,106,,621.0,12.0,Mar 08,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
106,Mauritius,107,+5,3.0,+1,,104,1.0,84.0,2.0,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
107,Guadeloupe,106,+4,4.0,+2,17.0,85,10.0,265.0,10.0,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
108,Cambodia,103,+4,,,21.0,82,1.0,6.0,,Jan 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
109,Belarus,94,,,,32.0,62,2.0,10.0,,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
110,Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
111,Georgia,91,+1,,,18.0,73,1.0,23.0,,Feb 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
112,Montenegro,85,+1,1.0,,,84,1.0,135.0,2.0,Mar 16,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
113,Kyrgyzstan,84,+26,,,,84,,13.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
114,DRC,81,+16,8.0,+2,2.0,71,,0.9,0.09,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
115,Bolivia,81,+7,1.0,+1,,80,3.0,7.0,0.09,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
116,Trinidad and Tobago,78,+2,3.0,,1.0,74,,56.0,2.0,Mar 11,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
117,Rwanda,70,+10,,,,70,,5.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
118,Gibraltar,65,+9,,,14.0,51,,1929.0,,Mar 02,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
119,Mayotte,63,,,,,63,,231.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
120,Paraguay,59,+3,3.0,,1.0,55,3.0,8.0,0.4,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
121,Liechtenstein,56,,,,,56,,1469.0,,Mar 02,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
122,Aruba,50,+4,,,1.0,49,,468.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
123,Bangladesh,48,,5.0,,15.0,28,1.0,0.3,0.03,Mar 07,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
124,Monaco,46,+3,1.0,,1.0,44,,1172.0,25.0,Feb 27,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
125,French Guiana,43,+15,,,6.0,37,,144.0,,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
126,Kenya,42,+4,1.0,,1.0,40,2.0,0.8,0.02,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
127,Isle of Man,42,+10,,,,42,,494.0,,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
128,Madagascar,39,+13,,,,39,,1.0,,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
129,Macao,37,+3,,,10.0,27,,57.0,,Jan 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
130,Guatemala,34,,1.0,,10.0,23,1.0,2.0,0.06,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
131,Barbados,33,+7,,,,33,,115.0,,Mar 16,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
132,Uganda,33,+3,,,,33,,0.7,,Mar 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
133,Jamaica,32,+2,1.0,,2.0,29,,11.0,0.3,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
134,French Polynesia,30,,,,,30,,107.0,,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
135,Zambia,29,+1,,,,29,,2.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
136,Togo,25,,1.0,,1.0,23,,3.0,0.1,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
137,El Salvador,24,+5,,,,24,,4.0,,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
138,Bermuda,22,+5,,,2.0,20,,353.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
139,Ethiopia,21,+5,,,1.0,20,,0.2,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
140,Congo,19,+15,,,,19,,3.0,,Mar 14,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
141,Mali,18,,1.0,,,17,,0.9,0.05,Mar 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
142,Niger,18,+8,1.0,,,17,,0.7,0.04,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
143,Djibouti,18,+4,,,,18,,18.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
144,Maldives,17,+1,,,13.0,4,,31.0,,Mar 06,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
145,Guinea,16,+8,,,,16,,1.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
146,Haiti,15,+7,,,1.0,14,,1.0,,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
147,New Caledonia,15,,,,,15,,53.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
148,Bahamas,14,+4,,,1.0,13,,36.0,,Mar 14,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
149,Tanzania,14,,,,1.0,13,,0.2,,Mar 15,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
150,Cayman Islands,12,+4,1.0,,,11,,183.0,15.0,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
151,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
152,Eritrea,12,+6,,,,12,,3.0,,Mar 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
153,Mongolia,12,,,,,12,,4.0,,Mar 09,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
154,Dominica,11,,,,,11,,153.0,,Mar 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
155,Namibia,11,+3,,,2.0,9,,4.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
156,Saint Martin,11,,,,,11,,284.0,,Feb 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
157,Greenland,10,,,,2.0,8,,176.0,,Mar 15,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
158,Myanmar,10,+2,,,,10,,0.2,,Mar 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
159,Syria,9,+4,1.0,+1,,8,,0.5,0.06,Mar 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
160,Grenada,9,+2,,,,9,,80.0,,Mar 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
161,Saint Lucia,9,+6,,,1.0,8,,49.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
162,Eswatini,9,,,,,9,,8.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
163,Curaçao,8,,1.0,,2.0,5,,49.0,6.0,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
164,Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
165,Laos,8,,,,,8,,1.0,,Mar 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
166,Libya,8,+5,,,,8,,1.0,,Mar 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
167,Mozambique,8,,,,,8,,0.3,,Mar 21,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
168,Seychelles,8,,,,,8,,81.0,,Mar 13,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
169,Suriname,8,,,,,8,,14.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
170,Angola,7,+2,2.0,+2,,5,,0.2,0.06,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
171,Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
172,Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
173,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
